"RIGHT",1.22,7.7824,0.7624,0.234,3.43,1.31,7.7347,0.4297,0.247,3.37,1.29,1.34,21591,0.5205625,0.1872,0.029,0.2656,0.4261875,0.1916,0.0201,0.2612,0.2403,0.2171,0.409,0.2034,0.41625,0.1879,0.4909090909090909090909090909,0.4655172413793103448275862069,0.5192307692307692307692307692,0.4482758620689655172413793103,0.5061728395061728395061728395,0.7,0.5714285714285714285714285714,24,0,0,9,"LEFT",1.31,8.0266,0.7337,0.239,3.67,1.33,8.3017,1.0862,0.249,4.33,1.03,1.45,28184,0.565666666666667,0.1757,0.0389,0.2879,0.478733333333333,0.2105,0.0306,0.2736,0.2668,0.25,0.505066666666667,0.1829,0.4626,0.221,0.5963302752293577981651376147,0.6666666666666666666666666667,0.5192307692307692307692307692,0.6,0.5945945945945945945945945946,0.6,0.5454545454545454545454545455,24,0,3,9,"Home"
"RIGHT",1.26,8.1126,1.0523,0.247,3.96,1.22,9.5333,0.7333,0.245,3.66,1.13,1.29,13740,0.536733333333333,0.2214,0.0248,0.2527,0.466666666666666,0.2262,0.0214,0.2267,0.2532,0.1948,0.474133333333333,0.2068,0.4454,0.233,0.4545454545454545454545454545,0.5263157894736842105263157895,0.3773584905660377358490566038,0.5,0.4418604651162790697674418605,0.6,0.5757575757575757575757575758,24,0,3,9,"RIGHT",1.28,7.1584,1.1782,0.253,4.15,1.23,8.1069,0.6183,0.26,3.63,1.48,0.98,22140,0.572066666666667,0.2382,0.0276,0.2624,0.5144,0.2328,0.0218,0.2578,0.2652,0.2258,0.5948,0.2453,0.468066666666667,0.2294,0.5225225225225225225225225225,0.5636363636363636363636363636,0.4821428571428571428571428571,0.5238095238095238095238095238,0.5222222222222222222222222222,0.3,0.4857142857142857142857142857,24,0,0,9,"Home"
"LEFT",1.2,7.5356,0.6692,0.254,3.17,1.21,8.0312,0.6119,0.258,3.44,1.31,1.18,30680,0.598235294117647,0.2056,0.032,0.2801,0.544470588235294,0.2159,0.0243,0.2651,0.2784,0.2346,0.497470588235294,0.2248,0.549352941176471,0.2132,0.5675675675675675675675675676,0.537037037037037037037037037,0.5964912280701754385964912281,0.6296296296296296296296296296,0.5476190476190476190476190476,0.7,0.5714285714285714285714285714,24,0,3,9,"LEFT",1.31,7.3125,0,0.254,3.38,1.31,7.3125,0,0.254,3.38,0.64,1.59,12635,0.579545454545455,0.1931,0.0216,0.2625,0.579909090909091,0.2206,0.0319,0.2539,0.2365,0.2285,0.597363636363636,0.2612,0.573090909090909,0.2092,0.4220183486238532110091743119,0.4807692307692307692307692308,0.3684210526315789473684210526,0.52,0.3928571428571428571428571429,0.5,0.3793103448275862068965517241,24,0,1,9,"Home"
"RIGHT",1.36,6.1766,0.6812,0.265,4.02,1.26,6.1544,0.7279,0.27,4.37,1.46,1.02,15618,0.579071428571429,0.2431,0.0335,0.2628,0.573642857142857,0.2448,0.0279,0.2717,0.2719,0.288,0.475857142857143,0.2149,0.577071428571428,0.2528,0.4909090909090909090909090909,0.5344827586206896551724137931,0.4423076923076923076923076923,0.64,0.4470588235294117647058823529,0.7,0.6046511627906976744186046512,24,0,0,9,"RIGHT",1.31,7.4584,1.042,0.259,4.22,1.28,7.6066,1.0964,0.257,4.03,1.59,1.08,17864,0.602230769230769,0.2204,0.0316,0.2555,0.549153846153846,0.2337,0.0276,0.2497,0.25,0.2303,0.746230769230769,0.2356,0.510230769230769,0.2331,0.5,0.537037037037037037037037037,0.4642857142857142857142857143,0.52,0.4941176470588235294117647059,0.4,0.4146341463414634146341463415,24,0,0,9,"Home"
"RIGHT",1.36,5.4251,0.9431,0.281,4.34,1.13,5.2782,0.812,0.248,3.24,1.17,1.08,30578,0.679,0.1739,0.0381,0.2875,0.649461538461538,0.1756,0.034,0.2913,0.3032,0.1778,0.615230769230769,0.1808,0.675615384615385,0.1733,0.5607476635514018691588785047,0.5178571428571428571428571429,0.6078431372549019607843137255,0.6216216216216216216216216216,0.5285714285714285714285714286,0.5,0.5666666666666666666666666667,24,0,0,9,"LEFT",1.39,5.6928,0.488,0.277,4.39,1.39,5.6928,0.488,0.277,4.39,1,1.51,16231,0.620846153846154,0.2226,0.0375,0.2744,0.629153846153846,0.2093,0.0322,0.2826,0.2793,0.2258,0.631615384615385,0.2081,0.626461538461539,0.2098,0.3963963963963963963963963964,0.4821428571428571428571428571,0.3090909090909090909090909091,0.4545454545454545454545454545,0.3717948717948717948717948718,0.4,0.4482758620689655172413793103,24,0,2,9,"Home"
"LEFT",1.29,8.212,0.8176,0.249,3.64,1.12,9.3776,0.5664,0.238,2.52,1.15,1.11,13311,0.5465,0.178,0.0274,0.2573,0.547583333333333,0.1871,0.0303,0.253,0.259,0.1962,0.491833333333333,0.1901,0.560833333333333,0.1863,0.6146788990825688073394495413,0.6603773584905660377358490566,0.5714285714285714285714285714,0.6129032258064516129032258065,0.6153846153846153846153846154,0.6,0.5172413793103448275862068966,24,0,3,9,"LEFT",1.31,5.8742,1.1325,0.261,4.19,1.23,5.904,1.008,0.259,3.31,1.26,1.22,28923,0.574428571428571,0.173,0.0264,0.2737,0.485928571428571,0.1712,0.0174,0.2585,0.2661,0.1658,0.457142857142857,0.1855,0.491357142857143,0.1669,0.513761467889908256880733945,0.5,0.5272727272727272727272727273,0.4482758620689655172413793103,0.5375,0.7,0.4,24,0,1,9,"Home"
"RIGHT",1.38,7.55,0.6805,0.257,4.16,1.65,8.5408,0.551,0.279,5.51,1.9,1.38,28274,0.6,0.1808,0.0289,0.2766,0.569714285714286,0.198,0.0222,0.2566,0.2479,0.1686,0.554857142857143,0.2104,0.643071428571428,0.1935,0.5321100917431192660550458716,0.5555555555555555555555555556,0.5090909090909090909090909091,0.4444444444444444444444444444,0.5609756097560975609756097561,0.4,0.4848484848484848484848484848,24,0,1,9,"RIGHT",1.34,5.7075,1.0638,0.273,4.27,1.1,6.5809,0.7995,0.24,3.07,1.11,1.09,34081,0.6364375,0.2219,0.0391,0.2694,0.5188125,0.2156,0.0311,0.2619,0.2704,0.2005,0.4870625,0.2309,0.5271875,0.2105,0.5495495495495495495495495495,0.5357142857142857142857142857,0.5636363636363636363636363636,0.6428571428571428571428571429,0.5180722891566265060240963855,0.5,0.5333333333333333333333333333,24,0,1,9,"Home"
"RIGHT",1.48,4.6318,0.7908,0.29,4.29,1.48,4.6318,0.7908,0.29,4.29,1.64,1.25,21155,0.5224,0.1839,0.0368,0.2697,0.482533333333333,0.2183,0.0272,0.2675,0.2689,0.2093,0.470133333333333,0.2298,0.474866666666667,0.2139,0.4864864864864864864864864865,0.5283018867924528301886792453,0.4482758620689655172413793103,0.5333333333333333333333333333,0.4691358024691358024691358025,0.6,0.5135135135135135135135135135,24,0,1,9,"RIGHT",1.23,6.9231,0.6923,0.27,4.38,1.23,6.9231,0.6923,0.27,4.38,1.52,0.93,13271,0.455,0.2159,0.033,0.2508,0.458764705882353,0.2354,0.0273,0.255,0.2418,0.2369,0.486588235294118,0.2355,0.42464705882353,0.2354,0.4495412844036697247706422018,0.4528301886792452830188679245,0.4464285714285714285714285714,0.4571428571428571428571428571,0.4459459459459459459459459459,0.4,0.5151515151515151515151515152,24,0,1,9,"Away"
"RIGHT",1.77,6.8131,1.7664,0.292,7.82,1.5,7.2,0,0.176,3.38,1.67,1.29,20593,0.569866666666667,0.2147,0.0457,0.2765,0.5114,0.23,0.025,0.2528,0.2369,0.24,0.5438,0.2324,0.4954,0.2288,0.4454545454545454545454545455,0.4736842105263157894736842105,0.4150943396226415094339622642,0.4736842105263157894736842105,0.4305555555555555555555555556,0.2,0.5121951219512195121951219512,24,0,0,9,"RIGHT",1.18,7.0274,0.7397,0.223,3.28,1.18,7.0274,0.7397,0.223,3.28,1.4,0.9,54749,0.589857142857143,0.1697,0.0302,0.2895,0.497642857142857,0.1937,0.0269,0.256,0.2578,0.2047,0.517214285714286,0.1902,0.496,0.195,0.513761467889908256880733945,0.4901960784313725490196078431,0.5344827586206896551724137931,0.4838709677419354838709677419,0.5256410256410256410256410256,0.5,0.5161290322580645161290322581,24,0,0,9,"Away"
"RIGHT",1.18,7.3746,0.8365,0.253,3.37,1.2,8.136,0.648,0.267,3.17,1.2,1.21,26712,0.646769230769231,0.2208,0.0323,0.2656,0.555307692307693,0.2243,0.025,0.2582,0.2425,0.2399,0.577461538461539,0.2287,0.550846153846154,0.2227,0.5462962962962962962962962963,0.5849056603773584905660377358,0.5090909090909090909090909091,0.6,0.5256410256410256410256410256,0.4,0.4333333333333333333333333333,24,0,0,9,"RIGHT",1.32,8.2809,0.8773,0.243,4,1.36,7.4129,0.7232,0.25,4.15,1.55,1.22,32088,0.6279,0.1891,0.0345,0.2734,0.5898,0.2083,0.0262,0.2597,0.2522,0.2246,0.6034,0.2327,0.5876,0.2004,0.4414414414414414414414414414,0.4,0.4821428571428571428571428571,0.5,0.4235294117647058823529411765,0.6,0.5,24,0,0,9,"Home"
