"LEFT",1.44,7.4979,1.0251,0.261,4.6,1.54,7.0435,1.3304,0.279,5.09,1.67,1.5,21486,0.6556,0.238,0.0377,0.2708,0.680733333333333,0.2083,0.0384,0.2897,0.2855,0.212,0.6074,0.2266,0.718866666666667,0.2015,0.4850746268656716417910447761,0.5223880597014925373134328358,0.4477611940298507462686567164,0.4210526315789473684210526316,0.5104166666666666666666666667,0.5,0.3461538461538461538461538462,48,0,2,9,"LEFT",1.43,9.5277,0.9558,0.27,4.33,1.43,11.2345,1.1172,0.265,4.28,1.18,1.52,16469,0.552466666666667,0.2418,0.0321,0.2663,0.544733333333333,0.2388,0.0366,0.2778,0.2551,0.2513,0.561533333333333,0.2431,0.535266666666667,0.2374,0.4179104477611940298507462687,0.3676470588235294117647058824,0.4696969696969696969696969697,0.5,0.3877551020408163265306122449,0.5,0.6129032258064516129032258065,48,0,2,9,"Home"
"RIGHT",1.26,6.8457,1.2255,0.249,3.92,1.18,7.6558,1.3442,0.248,3.8,1.47,0.96,13447,0.545785714285714,0.2686,0.0418,0.2543,0.497285714285714,0.235,0.0348,0.2423,0.2379,0.2232,0.438714285714286,0.2298,0.515071428571429,0.237,0.4477611940298507462686567164,0.4477611940298507462686567164,0.4477611940298507462686567164,0.4666666666666666666666666667,0.4423076923076923076923076923,0.2,0.5813953488372093023255813953,48,0,0,9,"RIGHT",1.41,4.8414,1.4897,0.269,4.66,1.41,4.8414,1.4897,0.269,4.66,1.38,1.44,18851,0.491133333333333,0.2076,0.0312,0.2796,0.519066666666666,0.2098,0.0291,0.2677,0.2639,0.2454,0.6028,0.1998,0.4908,0.2136,0.3851851851851851851851851852,0.3333333333333333333333333333,0.4347826086956521739130434783,0.3333333333333333333333333333,0.4086021505376344086021505376,0.7,0.4166666666666666666666666667,24,0,0,9,"Away"
"RIGHT",1.23,8.7831,0.8133,0.256,4.39,1.23,8.7831,0.8133,0.256,4.39,1.44,1.05,14104,0.574916666666667,0.198,0.0325,0.2696,0.53525,0.2138,0.0394,0.261,0.2577,0.2235,0.543833333333333,0.1911,0.52525,0.2213,0.4253731343283582089552238806,0.4477611940298507462686567164,0.4029850746268656716417910448,0.3888888888888888888888888889,0.4387755102040816326530612245,0.4,0.4878048780487804878048780488,48,0,3,9,"LEFT",1.14,8.6289,0.8363,0.236,3.19,1.23,9.1309,1.08,0.26,3.97,1.18,1.24,35314,0.5195,0.1852,0.0389,0.279,0.5325625,0.1822,0.0409,0.2976,0.2993,0.1808,0.52775,0.1843,0.526875,0.1815,0.5597014925373134328358208955,0.5774647887323943661971830986,0.5396825396825396825396825397,0.5625,0.5588235294117647058823529412,0.5,0.4705882352941176470588235294,48,0,0,9,"Away"
"RIGHT",1.4,5.9907,0.8894,0.271,4.58,1.56,6.1622,1.2973,0.298,5.17,1.79,1.39,17540,0.540384615384615,0.186,0.028,0.2701,0.519692307692308,0.2399,0.0365,0.2597,0.2464,0.2391,0.518615384615385,0.266,0.520384615384615,0.2312,0.3703703703703703703703703704,0.3880597014925373134328358209,0.3529411764705882352941176471,0.4444444444444444444444444444,0.3434343434343434343434343434,0.1,0.3142857142857142857142857143,24,0,1,9,"LEFT",1.43,8.8211,0.9727,0.265,3.82,1.41,8.6512,1.2558,0.278,3.91,1.01,1.51,22467,0.495066666666667,0.1998,0.0332,0.2718,0.477466666666667,0.2287,0.0341,0.2624,0.2493,0.2466,0.510133333333333,0.2243,0.472466666666667,0.2299,0.4776119402985074626865671642,0.546875,0.4142857142857142857142857143,0.5333333333333333333333333333,0.4615384615384615384615384615,0.4,0.4468085106382978723404255319,24,0,1,9,"Away"
"LEFT",1.28,7.6814,0.9506,0.243,3.6,1.05,9.3558,1.1302,0.227,3.01,0.82,1.1,22721,0.476631578947368,0.1944,0.0246,0.2627,0.401947368421053,0.2107,0.0263,0.2588,0.2637,0.1909,0.413052631578947,0.213,0.399684210526316,0.2098,0.5149253731343283582089552239,0.6307692307692307692307692308,0.4057971014492753623188405797,0.5,0.5196078431372549019607843137,0.5,0.5263157894736842105263157895,48,0,1,13,"RIGHT",1.31,7.9134,0.8963,0.252,3.9,1.47,7.7727,1.7045,0.287,5.92,1.49,1.45,25243,0.705384615384615,0.202,0.0355,0.2746,0.661,0.2358,0.0397,0.2594,0.2689,0.2422,0.637461538461539,0.2301,0.627538461538461,0.2381,0.5447761194029850746268656716,0.5820895522388059701492537313,0.5074626865671641791044776119,0.5121951219512195121951219512,0.5591397849462365591397849462,0.8,0.6153846153846153846153846154,48,0,0,9,"Away"
"RIGHT",1.17,7.5648,1.5463,0.235,3.8,1.3,7.7812,1.7812,0.251,4.39,1.44,1.15,38221,0.604333333333333,0.1944,0.0358,0.2725,0.643266666666667,0.2238,0.0401,0.2692,0.2709,0.2241,0.604933333333334,0.2232,0.640133333333333,0.224,0.6,0.6865671641791044776119402985,0.5147058823529411764705882353,0.5405405405405405405405405405,0.622448979591836734693877551,0.8,0.7894736842105263157894736842,48,0,1,9,"RIGHT",1.22,6.0386,0.8254,0.261,3.45,1.29,5.8471,1.0318,0.253,3.6,1.55,1.03,13275,0.5526875,0.2303,0.0353,0.2625,0.5481875,0.244,0.0393,0.2613,0.2746,0.2525,0.505,0.2443,0.561,0.2438,0.5298507462686567164179104478,0.5735294117647058823529411765,0.4848484848484848484848484848,0.5227272727272727272727272727,0.5333333333333333333333333333,0.7,0.5116279069767441860465116279,48,0,1,9,"Home"
"LEFT",1.48,6.9429,1.5429,0.283,5.7,1.48,6.9429,1.5429,0.283,5.7,1.89,1.33,22072,0.549071428571429,0.2,0.0342,0.2706,0.512071428571429,0.2262,0.0376,0.2602,0.2675,0.2354,0.4885,0.2324,0.488214285714286,0.2221,0.5149253731343283582089552239,0.5692307692307692307692307692,0.4637681159420289855072463768,0.4117647058823529411764705882,0.5783132530120481927710843373,0.2,0.4791666666666666666666666667,48,0,3,9,"LEFT",1.38,6.0958,1.0639,0.281,4.17,1.58,6.9775,2.1236,0.29,5.16,1.33,1.74,8966,0.646181818181818,0.2,0.0226,0.2497,0.666909090909091,0.1876,0.027,0.2618,0.2678,0.1728,0.576454545454546,0.2157,0.683090909090909,0.1795,0.4402985074626865671641791045,0.4923076923076923076923076923,0.3913043478260869565217391304,0.5,0.4183673469387755102040816327,0.7,0.4827586206896551724137931034,48,0,3,9,"Home"
"RIGHT",1.22,8.5789,0.9868,0.25,3.92,1.1,9.2812,1.3359,0.229,3.23,1.24,0.98,19988,0.596,0.2247,0.0326,0.2601,0.644928571428571,0.2101,0.0362,0.2745,0.28,0.2085,0.705714285714286,0.2136,0.579214285714286,0.2084,0.5789473684210526315789473684,0.6515151515151515151515151515,0.5074626865671641791044776119,0.6590909090909090909090909091,0.5393258426966292134831460674,0.5,0.5384615384615384615384615385,48,0,0,9,"RIGHT",1.3,7.4465,0.8602,0.253,3.76,1.43,7.0875,1.2656,0.272,4.73,1.54,1.35,29465,0.4724,0.1639,0.0168,0.2808,0.4926,0.1797,0.0153,0.2805,0.2896,0.2138,0.5218,0.2183,0.478466666666667,0.1657,0.5037037037037037037037037037,0.5076923076923076923076923077,0.5,0.7,0.4476190476190476190476190476,0.3,0.5,24,0,0,9,"Home"
"RIGHT",1.12,7.3636,1.1688,0.254,3.39,1.12,7.3636,1.1688,0.254,3.39,1.24,1,20919,0.636866666666667,0.2285,0.0283,0.2673,0.630533333333333,0.2343,0.0293,0.2686,0.2771,0.2554,0.510133333333333,0.2547,0.6322,0.229,0.5075757575757575757575757576,0.5230769230769230769230769231,0.4925373134328358208955223881,0.6923076923076923076923076923,0.4622641509433962264150943396,0.5,0.5,48,0,0,9,"RIGHT",1.12,7.5405,0.8108,0.215,3.07,1.09,7.5701,0.757,0.206,2.93,1.25,0.97,11448,0.578181818181818,0.2813,0.0452,0.2602,0.562454545454545,0.3095,0.0437,0.2537,0.2561,0.3263,0.593636363636364,0.3123,0.552,0.3085,0.4328358208955223880597014925,0.5138888888888888888888888889,0.3387096774193548387096774194,0.609756097560975609756097561,0.3548387096774193548387096774,0.4,0.4090909090909090909090909091,48,0,1,9,"Away"
"RIGHT",1.34,8.3077,1.35,0.259,3.63,1.34,8.4706,1.3765,0.26,3.71,1.19,1.54,25235,0.590142857142857,0.2443,0.0452,0.2547,0.646571428571429,0.2424,0.0512,0.2661,0.2742,0.253,0.5645,0.2541,0.585714285714286,0.2385,0.5447761194029850746268656716,0.6470588235294117647058823529,0.4393939393939393939393939394,0.5135135135135135135135135135,0.5567010309278350515463917526,0.5,0.5357142857142857142857142857,48,0,0,9,"RIGHT",1.3,10.0227,2.25,0.259,4.09,1.3,10.0227,2.25,0.259,4.09,1.55,1.1,31336,0.462705882352941,0.1963,0.0345,0.269,0.442,0.2139,0.0322,0.2552,0.2326,0.2418,0.358,0.1957,0.463941176470588,0.2207,0.5187969924812030075187969925,0.5692307692307692307692307692,0.4705882352941176470588235294,0.4594594594594594594594594595,0.5416666666666666666666666667,0.6,0.7096774193548387096774193548,48,0,0,13,"Home"
