"LEFT",1.33,7.9916,0.7224,0.246,3.34,1.67,10.6442,0.7788,0.32,4.15,2,1.59,26535,0.586428571428571,0.2034,0.0402,0.274,0.546857142857143,0.2205,0.0468,0.2678,0.2612,0.2437,0.5105,0.2173,0.556285714285714,0.2221,0.5185185185185185185185185185,0.5121951219512195121951219512,0.525,0.4285714285714285714285714286,0.5660377358490566037735849057,0.6,0.4444444444444444444444444444,24,0,3,9,"RIGHT",1.32,4.2632,0.8684,0.273,4.18,1.29,4.7308,1.1538,0.265,4.5,1.3,1.29,23099,0.592833333333333,0.2266,0.0439,0.2634,0.611666666666667,0.2374,0.05,0.2805,0.2983,0.2542,0.532833333333333,0.2451,0.622583333333333,0.2347,0.5875,0.7045454545454545454545454545,0.4444444444444444444444444444,0.5652173913043478260869565217,0.5964912280701754385964912281,0.7,0.5,24,0,0,9,"Home"
"RIGHT",1.3,6.7317,1.0677,0.264,3.94,1.17,5.9318,0.9205,0.265,2.86,1.18,1.16,23770,0.540769230769231,0.1996,0.0292,0.2664,0.497384615384615,0.2242,0.0385,0.251,0.2218,0.2799,0.485076923076923,0.216,0.489615384615385,0.2262,0.5375,0.5789473684210526315789473684,0.5,0.5625,0.53125,0.5,0.6428571428571428571428571429,24,0,0,9,"RIGHT",1.16,8.2954,0.7414,0.221,3.52,1.02,9.699,0.3495,0.178,2.1,1.3,0.81,13170,0.641416666666667,0.2213,0.0348,0.2585,0.70275,0.2319,0.0443,0.2678,0.2698,0.2579,0.8255,0.231,0.682333333333333,0.2323,0.6375,0.6944444444444444444444444444,0.5909090909090909090909090909,0.6923076923076923076923076923,0.6111111111111111111111111111,0.4,0.4347826086956521739130434783,24,0,1,9,"Home"
"RIGHT",1.21,6.0534,0.8397,0.26,3.42,1.2,5.8612,1.3452,0.238,3.36,1.47,0.94,18334,0.503285714285714,0.241,0.0314,0.2561,0.501571428571428,0.2718,0.0368,0.2597,0.2702,0.2721,0.460642857142857,0.2934,0.506428571428571,0.2649,0.5308641975308641975308641975,0.5897435897435897435897435897,0.4761904761904761904761904762,0.3913043478260869565217391304,0.5862068965517241379310344828,0.8,0.4814814814814814814814814815,24,0,1,9,"LEFT",1.06,10.1171,0.8943,0.223,2.9,0.98,8.6814,1.0354,0.213,2.79,0.91,1,12704,0.605636363636364,0.2337,0.0331,0.2616,0.590272727272727,0.2531,0.0363,0.2482,0.2338,0.2755,0.612,0.2638,0.592272727272727,0.2508,0.5061728395061728395061728395,0.525,0.4878048780487804878048780488,0.4705882352941176470588235294,0.515625,0.6,0.5,24,0,1,9,"Away"
"RIGHT",1.17,7.8998,0.8116,0.238,3.46,1.22,7.7,0.8,0.251,3.3,1.67,0.85,32104,0.579777777777778,0.2113,0.0316,0.2663,0.542666666666667,0.2105,0.0418,0.2598,0.2659,0.1985,0.549166666666667,0.1902,0.510944444444444,0.2168,0.5975609756097560975609756098,0.6578947368421052631578947368,0.5454545454545454545454545455,0.5555555555555555555555555556,0.609375,0.6,0.5652173913043478260869565217,24,0,0,14,"RIGHT",1.3,7.5187,1.2919,0.235,4.54,1.26,7.5682,1.125,0.223,4.38,1.28,1.23,20743,0.591357142857143,0.2113,0.0365,0.2656,0.533785714285714,0.2338,0.0403,0.2524,0.3007,0.1982,0.527071428571429,0.2361,0.528285714285714,0.233,0.3658536585365853658536585366,0.4186046511627906976744186047,0.3076923076923076923076923077,0.3,0.3870967741935483870967741935,0.2,0.4285714285714285714285714286,24,0,0,14,"Away"
"RIGHT",1.13,8.0101,1.3259,0.225,3.81,0.99,8.3636,1.0909,0.168,2.81,1.09,0.88,28003,0.535190476190476,0.2038,0.0371,0.2594,0.468142857142857,0.2431,0.042,0.2512,0.2437,0.2671,0.46147619047619,0.2197,0.450238095238095,0.2527,0.5301204819277108433734939759,0.5128205128205128205128205128,0.5454545454545454545454545455,0.4615384615384615384615384615,0.5614035087719298245614035088,0.5,0.3636363636363636363636363636,24,0,0,19,"RIGHT",1.4,8.0488,0.984,0.267,4.11,1.42,9.2368,1.0658,0.242,3.2,1.02,1.89,19271,0.51705,0.2323,0.0328,0.2554,0.49765,0.2226,0.0372,0.2641,0.2656,0.2216,0.41225,0.2292,0.50045,0.2201,0.6125,0.6571428571428571428571428571,0.5777777777777777777777777778,0.6521739130434782608695652174,0.5964912280701754385964912281,0.9,0.5416666666666666666666666667,24,0,0,19,"Home"
"LEFT",1.35,8.578,1.003,0.247,4,1.32,9.2368,1.4211,0.24,4.67,1.09,1.43,26439,0.576,0.2044,0.0346,0.2762,0.493066666666667,0.2173,0.0337,0.2525,0.256,0.2416,0.436866666666667,0.2194,0.5024,0.2166,0.5542168674698795180722891566,0.625,0.4883720930232558139534883721,0.5,0.5692307692307692307692307692,0.6,0.5,24,0,3,9,"RIGHT",1.56,6.9146,1.0866,0.299,5.43,1.54,6.9775,1.2135,0.311,5.84,1.5,1.58,19561,0.574833333333333,0.2624,0.0398,0.2582,0.6545,0.2173,0.0455,0.2887,0.298,0.2217,0.6245,0.2478,0.661416666666667,0.2048,0.4625,0.4736842105263157894736842105,0.4523809523809523809523809524,0.4,0.4909090909090909090909090909,0.3,0.3125,24,0,2,9,"Home"
"LEFT",1.77,7.082,0,0.301,3.54,1.77,7.082,0,0.301,3.54,2,1.69,14694,0.538266666666667,0.239,0.038,0.2538,0.5342,0.2724,0.0424,0.246,0.2534,0.3019,0.661733333333333,0.252,0.4878,0.2779,0.4125,0.4146341463414634146341463415,0.4102564102564102564102564103,0.55,0.3666666666666666666666666667,0.2,0.4117647058823529411764705882,24,0,0,9,"RIGHT",1.2,8.3258,0.8245,0.238,3.55,1.13,9.2006,1.3758,0.233,4.3,1.13,1.13,36063,0.600266666666667,0.1952,0.0365,0.2826,0.6016,0.231,0.0384,0.2761,0.2903,0.2258,0.618466666666667,0.2348,0.591666666666667,0.2296,0.5308641975308641975308641975,0.5897435897435897435897435897,0.4761904761904761904761904762,0.5652173913043478260869565217,0.5172413793103448275862068966,0.7,0.55,24,0,0,9,"Away"
"RIGHT",1.24,8.9287,1.0693,0.256,4.06,1.27,9.7912,0.8901,0.261,4.45,1.32,1.23,13768,0.600866666666667,0.2763,0.04,0.2552,0.537733333333334,0.2433,0.0312,0.2488,0.2415,0.2348,0.494266666666667,0.2505,0.5508,0.2411,0.4390243902439024390243902439,0.425,0.4523809523809523809523809524,0.5,0.421875,0.6,0.6785714285714285714285714286,24,0,0,9,"LEFT",1.32,7.6059,0.9706,0.246,3.72,1.08,10.665,1.485,0.23,3.24,0.86,1.15,18587,0.660538461538461,0.1913,0.0266,0.2693,0.570615384615385,0.2197,0.0268,0.279,0.2788,0.1929,0.590230769230769,0.2131,0.560153846153846,0.2219,0.5375,0.7105263157894736842105263158,0.380952380952380952380952381,0.6,0.5230769230769230769230769231,0.5,0.5909090909090909090909090909,24,0,1,9,"Away"
"RIGHT",1.31,6.9903,0.8962,0.252,3.99,1.47,6.1579,1.7763,0.262,5.9,2.11,0.99,19299,0.513714285714286,0.1804,0.0402,0.2858,0.525071428571429,0.1866,0.0363,0.2964,0.2956,0.1965,0.483928571428571,0.2103,0.537571428571429,0.1813,0.5375,0.5581395348837209302325581395,0.5135135135135135135135135135,0.3125,0.59375,0.4,0.5,24,0,0,9,"LEFT",1.33,8.1699,1.2816,0.235,3.79,1.34,7.7294,1.8,0.245,5.27,1.4,1.32,20220,0.5746,0.1618,0.0455,0.2858,0.556,0.1693,0.033,0.2637,0.2622,0.1911,0.650533333333333,0.1626,0.553133333333333,0.1715,0.4074074074074074074074074074,0.380952380952380952380952381,0.4358974358974358974358974359,0.3913043478260869565217391304,0.4137931034482758620689655172,0.2,0.4736842105263157894736842105,24,0,3,9,"Away"
"RIGHT",1.17,7.5522,0.605,0.246,3.1,1.36,6.75,0.75,0.284,5.04,1.39,1.34,26832,0.682909090909091,0.1906,0.0325,0.2779,0.648363636363636,0.2138,0.0447,0.273,0.3288,0.1863,0.581272727272727,0.221,0.695454545454545,0.2109,0.525,0.425,0.625,0.5217391304347826086956521739,0.5263157894736842105263157895,0.5,0.3,24,0,1,9,"RIGHT",1.32,7.2495,0.9222,0.252,4.04,1.35,6.6316,1.1368,0.247,3.6,1.31,1.39,18608,0.585416666666667,0.2104,0.0368,0.2707,0.618083333333334,0.259,0.0359,0.2695,0.255,0.2749,0.623833333333333,0.2587,0.6355,0.2591,0.4375,0.5238095238095238095238095238,0.3421052631578947368421052632,0.5384615384615384615384615385,0.3888888888888888888888888889,0.4,0.4615384615384615384615384615,24,0,1,9,"Home"
